fila_limpia,conjunto
814,train
815,train
816,train
817,train
818,train
819,train
820,train
821,train
822,train
823,train
824,train
825,train
826,train
827,train
828,train
829,train
830,train
831,test
832,train
833,train
834,train
835,train
836,validacion
837,train
838,train
839,train
840,validacion
841,train
842,train
843,train
844,validacion
845,train
846,train
847,test
848,train
849,train
850,train
851,train
852,test
853,validacion
854,train
855,train
856,test
857,train
858,train
859,test
860,train
861,test
862,test
863,train
864,train
865,train
866,train
867,train
868,train
869,test
870,train
871,validacion
872,validacion
873,validacion
874,train
875,test
876,train
877,test
878,train
879,train
880,train
881,train
882,validacion
883,train
884,test
885,train
886,train
887,train
888,train
889,test
890,train
891,train
892,validacion
893,train
894,train
895,train
896,train
897,train
898,train
899,train
900,test
901,train
902,train
903,train
904,train
905,train
906,train
907,validacion
908,train
909,train
910,train
911,train
912,validacion
913,train
914,train
915,train
916,train
917,train
918,train
919,validacion
920,test
921,train
922,train
923,train
924,train
925,train
926,train
927,train
928,test
929,train
930,validacion
931,test
932,train
933,validacion
934,train
935,train
936,test
937,validacion
938,validacion
939,test
940,test
941,validacion
942,train
943,train
944,train
945,train
946,validacion
947,test
948,train
949,test
950,validacion
951,train
952,train
953,train
954,test
955,validacion
956,train
957,train
958,train
959,train
960,validacion
961,train
962,train
963,validacion
964,test
965,train
966,train
967,train
968,test
969,train
970,train
971,train
972,train
973,train
974,train
975,test
976,train
977,train
978,train
979,validacion
980,validacion
981,train
982,train
983,test
984,train
985,train
986,train
987,train
988,train
989,train
990,test
991,train
992,validacion
993,train
994,train
995,train
996,train
997,train
998,test
999,train
1000,validacion
1001,train
1002,train
1003,train
1004,train
1005,train
1006,validacion
1007,test
1008,train
1009,train
1010,train
1011,train
1012,test
1013,train
1014,test
1015,train
1016,train
1017,train
1018,train
1019,train
1020,test
1021,validacion
1022,train
1023,train
1024,train
1025,train
1026,train
1027,test
1028,train
1029,train
1030,train
1031,train
1032,validacion
1033,train
1034,train
1035,train
1036,test
1037,train
1038,train
1039,validacion
1040,test
1041,train
1042,validacion
1043,train
1044,train
1045,test
1046,train
1047,train
1048,train
1049,validacion
1050,train
1051,train
1052,test
1053,test
1054,train
1055,train
1056,train
1057,validacion
1058,train
1059,test
1060,train
1061,train
1062,train
1063,validacion
1064,train
1065,train
1066,train
1067,validacion
1068,test
1069,test
1070,train
1071,train
1072,train
1073,train
1074,train
1075,train
1076,train
1077,test
1078,train
1079,train
1080,train
1081,train
1082,validacion
1083,validacion
1084,train
1085,train
1086,validacion
1087,train
1088,train
1089,train
1090,test
1091,train
1092,train
1093,validacion
1094,train
1095,train
1096,train
1097,train
1098,train
1099,validacion
1100,train
1101,test
1102,train
1103,train
1104,train
1105,test
1106,train
1107,train
1108,validacion
1109,test
1110,test
1111,test
1112,train
1113,train
1114,train
1115,train
1116,train
1117,train
1118,train
1119,train
1120,train
1121,validacion
1122,test
1123,train
1124,train
1125,train
1126,test
1127,train
1128,test
1129,train
1130,train
1131,test
1132,validacion
1133,train
1134,train
1135,train
1136,test
1137,train
1138,train
1139,train
1140,train
1141,train
1142,train
1143,train
1144,train
1145,train
1146,train
1147,train
1148,validacion
1149,test
1150,validacion
1151,test
1152,train
1153,train
1154,validacion
1155,train
1156,train
1157,validacion
1158,train
1159,train
1160,train
1161,validacion
1162,train
1163,validacion
1164,train
1165,train
1166,test
1167,train
1168,train
1169,train
1170,train
1171,train
1172,train
1173,train
1174,test
1175,train
1176,train
1177,train
1178,train
1179,train
1180,validacion
1181,train
1182,test
1183,test
1184,validacion
1185,test
1186,train
1187,validacion
1188,train
1189,test
1190,train
1191,train
1192,test
1193,validacion
1194,validacion
1195,train
1196,train
1197,test
1198,train
1199,train
1200,validacion
1201,test
1202,train
1203,train
1204,train
1205,train
1206,train
1207,train
1208,train
1209,validacion
1210,train
1211,train
1212,train
1213,train
1214,train
1215,train
1216,train
1217,train
1218,train
1219,test
1220,validacion
1221,validacion
1222,validacion
1223,train
1224,train
1225,train
1226,validacion
1227,train
1228,train
1229,train
1230,test
1231,train
1232,train
1233,test
1234,validacion
1235,train
1236,validacion
1237,train
1238,validacion
1239,train
1240,train
1241,train
1242,train
1243,train
1244,train
1245,train
1246,train
1247,train
1248,train
1249,test
1250,train
1251,train
1252,train
1253,test
1254,test
1255,validacion
1256,train
1257,validacion
1258,train
1259,validacion
1260,train
1261,train
1262,train
1263,train
1264,validacion
1265,train
1266,train
1267,train
1268,train
1269,train
1270,train
1271,test
1272,train
1273,train
1274,test
1275,train
1276,train
1277,test
1278,test
1279,test
1280,train
1281,train
1282,train
1283,validacion
1284,validacion
1285,validacion
1286,train
1287,validacion
1288,train
1289,train
1290,train
1291,validacion
1292,train
1293,validacion
1294,train
1295,train
1296,train
1297,train
1298,train
1299,train
1300,train
1301,train
1302,train
1303,test
1304,train
1305,train
1306,validacion
1307,train
1308,validacion
1309,validacion
1310,train
1311,train
1312,train
1313,train
1314,validacion
1315,validacion
1316,train
1317,train
1318,test
1319,train
1320,train
1321,train
1322,train
1323,validacion
1324,train
1325,train
1326,train
1327,validacion
1328,test
1329,train
1330,train
1331,train
1332,test
1333,validacion
1334,test
1335,validacion
1336,train
1337,train
1338,train
1339,train
1340,test
1341,train
1342,train
1343,train
1344,test
1345,train
1346,test
1347,train
1348,train
1349,train
1350,validacion
1351,validacion
1352,test
1353,train
1354,validacion
1355,train
1356,train
1357,train
1358,train
1359,train
1360,train
1361,test
1362,train
1363,train
1364,train
1365,train
1366,train
1367,train
1368,train
1369,train
1370,test
1371,train
1372,validacion
1373,validacion
1374,train
1375,validacion
1376,train
1377,train
1378,train
1379,train
1380,train
1381,train
1382,train
1383,train
1384,train
1385,train
1386,validacion
1387,train
1388,train
1389,train
1390,train
1391,train
1392,train
1393,test
1394,train
1395,validacion
1396,validacion
1397,test
1398,test
1399,test
1400,train
1401,train
1402,test
1403,test
1404,train
1405,train
1406,train
1407,test
1408,train
1409,train
1410,train
1411,test
1412,train
1413,train
1414,train
1415,train
1416,train
1417,test
1418,train
1419,train
1420,train
1421,test
1422,train
1423,train
1424,train
1425,train
1426,train
1427,train
1428,train
1429,train
1430,test
1431,train
1432,train
1433,train
1434,validacion
1435,train
1436,train
1437,train
1438,validacion
1439,train
1440,train
1441,train
1442,train
1443,test
1444,validacion
1445,train
1446,train
1447,train
1448,train
1449,validacion
1450,train
1451,train
1452,train
1453,train
1454,train
1455,train
1456,train
1457,train
1458,validacion
1459,train
1460,test
1461,test
1462,test
1463,train
1464,validacion
1465,validacion
1466,train
1467,test
1468,validacion
1469,train
1470,test
1471,train
1472,train
1473,train
1474,train
1475,validacion
1476,train
1477,train
1478,train
1479,validacion
1480,test
1481,train
1482,validacion
1483,test
1484,validacion
1485,train
1486,train
1487,train
1488,train
1489,train
1490,validacion
1491,test
1492,train
1493,validacion
1494,validacion
1495,train
1496,test
1497,validacion
1498,validacion
1499,test
1500,train
1501,train
1502,train
1503,train
1504,train
1505,test
1506,train
1507,train
1508,validacion
1509,test
1510,validacion
1511,train
1512,train
1513,train
1514,validacion
1515,train
1516,validacion
1517,train
1518,train
1519,test
1520,train
1521,train
1522,test
1523,train
1524,train
1525,validacion
1526,train
1527,train
1528,validacion
1529,train
1530,validacion
1531,train
1532,train
1533,validacion
1534,validacion
1535,train
1536,train
1537,train
1538,validacion
1539,train
1540,train
1541,test
1542,train
1543,test
1544,train
1545,train
1546,validacion
1547,validacion
1548,train
1549,train
1550,train
1551,train
1552,train
1553,train
1554,train
1555,train
1556,train
1557,test
1558,test
1559,train
1560,test
1561,train
1562,train
1563,train
1564,test
1565,train
1566,train
1567,train
1568,train
1569,train
1570,train
1571,train
1572,validacion
1573,train
1574,train
1575,train
1576,train
1577,train
1578,train
1579,validacion
1580,validacion
1581,test
1582,test
1583,validacion
1584,train
1585,train
1586,train
1587,train
1588,train
1589,train
1590,test
1591,train
1592,test
1593,train
1594,train
1595,train
1596,validacion
1597,train
1598,validacion
1599,train
1600,train
1601,train
1602,validacion
1603,train
1604,train
1605,train
1606,train
1607,validacion
1608,test
1609,train
1610,validacion
1611,train
1612,train
1613,train
1614,train
1615,train
1616,train
1617,train
1618,test
1619,test
1620,train
1621,train
1622,train
1623,validacion
1624,test
1625,validacion
1626,test
1627,train
1628,train
1629,test
1630,test
1631,train
1632,train
1633,train
1634,train
1635,test
1636,train
1637,train
1638,validacion
1639,train
1640,validacion
1641,train
1642,train
1643,test
1644,train
1645,train
1646,train
1647,test
1648,test
1649,train
1650,train
1651,train
1652,train
1653,train
1654,validacion
1655,train
1656,train
1657,train
1658,train
1659,train
1660,train
1661,train
1662,train
1663,train
1664,train
1665,validacion
1666,train
1667,train
1668,train
1669,train
1670,validacion
1671,validacion
1672,train
1673,validacion
1674,test
1675,train
1676,validacion
1677,train
1678,train
1679,train
1680,train
1681,validacion
1682,test
1683,test
1684,test
1685,validacion
1686,validacion
1687,train
1688,test
1689,validacion
1690,train
1691,train
1692,validacion
1693,train
1694,train
1695,train
1696,train
1697,train
1698,validacion
1699,train
1700,train
1701,validacion
1702,train
1703,train
1704,test
1705,train
1706,validacion
1707,train
1708,test
1709,train
1710,train
1711,train
1712,train
1713,train
1714,train
1715,test
1716,train
1717,train
1718,validacion
1719,train
1720,train
1721,train
1722,train
1723,train
1724,train
1725,train
1726,test
1727,validacion
1728,test
1729,train
1730,test
1731,test
1732,train
1733,train
1734,train
1735,validacion
1736,train
1737,train
1738,train
1739,train
1740,train
1741,train
1742,train
1743,train
1744,test
1745,validacion
1746,train
1747,validacion
1748,validacion
1749,train
1750,train
1751,train
1752,train
1753,train
1754,validacion
1755,validacion
1756,validacion
1757,validacion
1758,train
1759,train
1760,validacion
1761,validacion
1762,train
1763,test
1764,test
1765,validacion
1766,train
1767,train
1768,train
1769,train
1770,test
1771,train
1772,train
1773,train
1774,train
1775,train
1776,train
1777,train
1778,train
1779,train
1780,validacion
1781,train
1782,validacion
1783,train
1784,train
1785,train
1786,train
1787,train
1788,train
1789,train
1790,train
1791,train
1792,train
1793,train
1794,train
1795,train
1796,train
1797,train
1798,validacion
1799,train
1800,validacion
1801,train
1802,test
1803,train
1804,train
1805,train
1806,validacion
1807,test
1808,train
1809,train
1810,train
1811,train
1812,validacion
1813,validacion
1814,validacion
1815,validacion
1816,train
1817,validacion
1818,train
1819,train
1820,validacion
1821,test
1822,train
1823,train
1824,train
1825,train
1826,train
1827,test
1828,test
1829,train
1830,train
1831,test
1832,train
1833,train
1834,train
1835,train
1836,test
1837,test
1838,train
1839,validacion
1840,train
1841,validacion
1842,train
1843,train
1844,train
1845,train
1846,train
1847,test
1848,test
1849,train
1850,test
1851,train
1852,train
1853,test
1854,validacion
1855,train
1856,train
1857,test
1858,train
1859,validacion
1860,train
1861,train
1862,validacion
1863,train
1864,train
1865,train
1866,train
1867,train
1868,train
1869,train
1870,test
1871,test
1872,train
1873,train
1874,train
1875,train
1876,train
1877,test
1878,validacion
1879,validacion
1880,train
1881,train
1882,validacion
1883,train
1884,validacion
1885,test
1886,train
1887,train
1888,validacion
1889,train
1890,train
1891,train
1892,train
1893,train
1894,train
1895,train
1896,validacion
1897,validacion
1898,train
1899,train
1900,validacion
1901,test
1902,train
1903,validacion
1904,test
1905,validacion
1906,train
1907,train
1908,train
1909,test
1910,train
1911,train
1912,train
1913,validacion
1914,test
1915,train
1916,validacion
1917,train
1918,train
1919,train
1920,train
1921,train
1922,test
1923,train
1924,train
1925,train
1926,validacion
1927,train
1928,train
1929,test
1930,validacion
1931,train
1932,validacion
1933,train
1934,test
1935,validacion
1936,train
1937,train
1938,train
1939,validacion
1940,train
1941,test
1942,train
1943,test
1944,train
1945,train
1946,validacion
1947,train
1948,train
1949,test
1950,train
1951,test
1952,validacion
1953,train
1954,train
1955,validacion
1956,validacion
1957,train
1958,train
1959,train
1960,train
1961,train
1962,train
1963,train
1964,train
1965,test
1966,validacion
1967,train
1968,train
1969,train
1970,test
1971,train
1972,train
1973,train
1974,test
1975,validacion
1976,train
1977,test
1978,train
1979,train
1980,validacion
1981,train
1982,train
1983,test
1984,validacion
1985,train
1986,validacion
1987,validacion
1988,train
1989,train
1990,train
1991,train
1992,train
1993,train
1994,test
1995,test
1996,validacion
1997,train
1998,validacion
1999,test
2000,train
2001,train
2002,validacion
2003,train
2004,train
2005,validacion
2006,train
2007,train
2008,validacion
2009,train
2010,train
2011,train
2012,train
2013,train
2014,validacion
2015,train
2016,train
2017,train
2018,test
2019,train
2020,validacion
2021,train
2022,train
2023,train
2024,train
2025,train
2026,train
2027,train
2028,train
2029,train
2030,validacion
2031,test
2032,test
2033,train
2034,train
2035,train
2036,validacion
2037,validacion
2038,train
2039,train
2040,validacion
2041,train
2042,train
2043,test
2044,train
2045,test
2046,validacion
2047,train
2048,train
2049,train
2050,train
2051,train
2052,train
2053,train
2054,train
2055,train
2056,train
2057,train
2058,train
2059,train
2060,validacion
2061,train
2062,train
2063,train
2064,train
2065,train
2066,validacion
2067,train
2068,test
2069,train
2070,train
2071,train
2072,train
2073,train
2074,train
2075,train
2076,train
2077,train
2078,train
2079,train
2080,train
2081,validacion
2082,train
2083,validacion
2084,train
2085,validacion
2086,train
2087,validacion
2088,test
2089,test
2090,test
2091,train
2092,train
2093,train
2094,train
2095,test
2096,validacion
2097,train
2098,validacion
2099,validacion
2100,validacion
2101,validacion
2102,test
2103,validacion
2104,train
2105,validacion
2106,test
2107,train
2108,train
2109,train
2110,validacion
2111,test
2112,validacion
2113,test
2114,train
2115,train
2116,train
2117,train
2118,validacion
2119,train
2120,train
2121,train
2122,train
2123,train
2124,train
2125,train
2126,train
2127,validacion
2128,train
2129,test
2130,train
2131,train
2132,validacion
2133,train
2134,train
2135,train
2136,validacion
2137,train
2138,test
2139,train
2140,test
2141,test
2142,train
2143,train
2144,train
2145,train
2146,train
2147,validacion
2148,test
2149,train
2150,train
2151,train
2152,test
2153,train
2154,validacion
2155,train
2156,train
2157,test
2158,train
2159,train
2160,train
2161,validacion
2162,test
2163,train
2164,train
2165,train
2166,train
2167,validacion
2168,train
2169,train
2170,train
2171,train
2172,train
2173,train
2174,train
2175,train
2176,train
2177,train
2178,train
2179,train
2180,train
2181,test
2182,test
2183,train
2184,train
2185,train
2186,train
2187,train
2188,validacion
2189,train
2190,train
2191,train
2192,train
2193,test
2194,validacion
2195,train
2196,validacion
2197,validacion
2198,train
2199,train
2200,validacion
2201,train
2202,train
2203,train
2204,validacion
2205,validacion
2206,train
2207,validacion
2208,train
2209,train
2210,train
2211,train
2212,train
2213,validacion
2214,train
2215,train
2216,train
2217,train
2218,train
2219,train
2220,train
2221,train
2222,validacion
2223,train
2224,train
2225,test
2226,train
2227,train
2228,train
2229,validacion
2230,test
2231,test
2232,train
2233,train
2234,train
2235,train
2236,train
2237,train
2238,test
2239,train
2240,test
2241,train
2242,test
2243,train
2244,validacion
2245,train
2246,train
2247,train
2248,train
2249,validacion
2250,train
2251,test
2252,train
2253,train
2254,train
2255,train
2256,train
2257,validacion
2258,train
2259,test
2260,validacion
2261,train
2262,train
2263,train
2264,test
2265,train
2266,train
2267,train
2268,test
2269,train
2270,validacion
2271,train
2272,validacion
2273,train
2274,train
2275,train
2276,validacion
2277,train
2278,train
2279,train
2280,train
2281,train
2282,train
2283,test
2284,validacion
2285,train
2286,train
2287,test
2288,train
2289,validacion
2290,train
2291,train
2292,train
2293,train
2294,train
2295,train
2296,train
2297,train
2298,train
2299,train
2300,validacion
2301,train
2302,train
2303,test
2304,train
2305,train
2306,test
2307,test
2308,validacion
2309,train
2310,train
2311,train
2312,validacion
2313,train
2314,train
2315,train
2316,test
2317,train
2318,train
2319,train
2320,train
2321,test
2322,train
2323,validacion
2324,test
2325,test
2326,train
2327,train
2328,test
2329,train
2330,validacion
2331,train
2332,train
2333,validacion
2334,train
2335,test
2336,test
2337,validacion
2338,test
2339,train
2340,test
2341,test
2342,test
2343,test
2344,test
2345,train
2346,train
2347,train
2348,train
2349,train
2350,train
2351,test
2352,train
2353,validacion
2354,test
2355,train
2356,train
2357,validacion
2358,train
2359,train
2360,validacion
2361,train
2362,train
2363,train
2364,train
2365,train
2366,train
2367,test
2368,test
2369,train
2370,train
2371,train
2372,test
2373,validacion
2374,test
2375,validacion
2376,test
2377,train
2378,train
2379,train
2380,train
2381,train
2382,train
2383,train
2384,test
2385,train
2386,train
2387,train
2388,test
2389,train
2390,validacion
2391,train
2392,train
2393,train
2394,validacion
2395,train
2396,train
2397,validacion
2398,train
2399,train
2400,train
2401,train
2402,train
2403,train
2404,train
2405,train
2406,train
2407,train
2408,validacion
2409,train
2410,train
2411,train
2412,validacion
2413,train
2414,validacion
2415,train
2416,train
2417,train
2418,train
2419,train
2420,train
2421,train
2422,train
2423,train
2424,test
2425,train
2426,train
2427,train
2428,train
2429,train
2430,validacion
2431,train
2432,test
2433,train
2434,validacion
2435,validacion
2436,train
2437,train
2438,train
2439,train
2440,train
2441,train
2442,train
2443,train
2444,train
2445,train
2446,train
2447,validacion
2448,test
2449,test
2450,validacion
2451,train
2452,validacion
2453,train
2454,train
2455,validacion
2456,train
2457,validacion
2458,train
2459,test
2460,train
2461,validacion
2462,train
2463,validacion
2464,test
2465,train
2466,train
2467,train
2468,train
2469,train
2470,validacion
2471,validacion
2472,train
2473,train
2474,train
2475,train
2476,train
2477,train
2478,train
2479,train
2480,train
2481,train
2482,test
2483,test
2484,train
2485,test
2486,train
2487,test
2488,train
2489,validacion
2490,train
2491,train
2492,validacion
2493,validacion
2494,test
2495,train
2496,train
2497,train
2498,train
2499,train
2500,train
2501,test
2502,test
2503,test
2504,test
2505,test
2506,train
2507,validacion
2508,train
2509,validacion
2510,validacion
2511,test
2512,validacion
2513,test
2514,train
2515,test
2516,train
2517,train
2518,train
2519,train
2520,train
2521,validacion
2522,train
2523,train
2524,train
2525,train
2526,validacion
2527,train
2528,train
2529,train
2530,test
2531,train
2532,test
2533,validacion
2534,train
2535,train
2536,train
2537,train
2538,test
2539,train
2540,test
2541,train
2542,validacion
2543,validacion
2544,train
2545,train
2546,train
2547,train
2548,test
2549,train
2550,train
2551,train
2552,train
2553,validacion
2554,train
2555,train
2556,train
2557,train
2558,train
2559,train
2560,train
2561,train
2562,train
2563,test
2564,train
2565,train
2566,train
2567,train
2568,train
2569,validacion
2570,train
2571,validacion
2572,train
2573,train
2574,train
2575,train
2576,train
2577,train
2578,train
2579,train
2580,train
2581,train
2582,train
2583,train
2584,train
2585,train
2586,train
2587,train
2588,train
2589,train
2590,train
2591,test
2592,train
2593,validacion
2594,train
2595,validacion
2596,train
2597,train
2598,train
2599,validacion
2600,train
2601,train
2602,validacion
2603,train
2604,test
2605,train
2606,validacion
2607,train
2608,train
2609,train
2610,train
2611,test
2612,validacion
2613,validacion
2614,train
2615,validacion
2616,train
2617,train
2618,train
2619,test
2620,train
2621,train
2622,validacion
2623,train
2624,test
2625,train
2626,train
2627,train
2628,train
2629,validacion
2630,validacion
2631,train
2632,train
2633,test
2634,train
2635,train
2636,train
2637,train
2638,train
2639,train
2640,validacion
2641,validacion
2642,train
2643,train
2644,train
2645,train
2646,train
2647,train
2648,test
2649,train
2650,validacion
2651,validacion
2652,train
2653,train
2654,train
2655,train
2656,train
2657,train
2658,train
2659,train
2660,train
2661,train
2662,train
2663,train
2664,train
2665,train
2666,train
2667,train
2668,train
2669,train
2670,train
2671,train
2672,validacion
2673,train
2674,train
2675,train
2676,train
2677,validacion
2678,train
2679,test
2680,validacion
2681,train
2682,train
2683,test
2684,train
2685,test
2686,train
2687,train
2688,train
2689,train
2690,validacion
2691,train
2692,train
2693,train
2694,train
2695,test
2696,train
2697,train
2698,train
2699,train
2700,train
2701,train
2702,train
2703,train
2704,validacion
2705,test
2706,train
2707,validacion
2708,train
2709,train
2710,validacion
2711,train
2712,test
2713,train
2714,train
2715,test
2716,train
2717,train
2718,validacion
2719,train
2720,train
2721,train
2722,validacion
2723,train
2724,test
2725,train
2726,train
2727,train
2728,train
2729,validacion
2730,train
2731,train
2732,train
2733,test
2734,validacion
2735,test
2736,train
2737,train
2738,train
2739,test
2740,train
2741,train
2742,train
2743,train
2744,train
2745,validacion
2746,train
2747,train
2748,train
2749,train
2750,train
2751,train
2752,train
2753,train
2754,train
2755,train
2756,train
2757,train
2758,train
2759,train
2760,train
2761,validacion
2762,train
2763,validacion
2764,test
2765,validacion
2766,train
2767,test
2768,train
2769,train
2770,train
2771,test
2772,test
2773,train
2774,train
2775,train
2776,train
2777,train
2778,train
2779,train
2780,train
2781,validacion
2782,test
2783,train
2784,train
2785,test
2786,test
2787,train
2788,train
2789,train
2790,train
2791,test
2792,train
2793,train
2794,train
2795,validacion
2796,train
2797,train
2798,test
2799,train
2800,train
2801,test
2802,train
2803,validacion
2804,train
2805,train
2806,train
2807,train
2808,train
2809,train
2810,train
2811,validacion
2812,train
2813,train
2814,train
2815,test
