indice_archivo_original,grupo_perfil,sha256_perfil,fold,conjunto
86,80,cff3270cf698c0d77caab1a8b4a24658412a6a7720ca46452ec8e1eb7d5a63a3,0,test
87,81,d1f8d6e17751a4d193dc058468e43b39e476236f60a556e638a5dd86833be15a,1,validacion
88,82,4efd6c5ddc22e1dd85cdfe06a298d2b93a64147d50997822272d272f3bc102b1,2,train
89,83,e81c51000d72a6d7c1454a1204dcbb0eb5e06c24f8b9ceb8cffa4497f17ee5a6,3,train
90,84,e9a9f3b66e4f7c4d3273c919e7dde18bbfb9fd55fab91ec126e96a49392d7a8c,5,train
91,85,e1ca3d804d9a0bb651ec45ae3be65b6fb5792ac47d4085af028deac8ac63da1b,4,train
92,86,49b0ae90870f34bdfc31194e94f536a0c333970cdba378e6f3e4898c8c2f1bff,6,train
93,87,136b233966ce9e21dc109c502ee0b28bc4bf24383a69d36734b6a7f504c6b2f7,4,train
94,88,80e2a19e2e34127303137725dd00d310fceed726b377034798659b68b23361a9,0,test
95,89,be9113bc7bd28e690f263109dcce38bc7525fa52c54d510ec29f2e654c08695d,1,validacion
96,90,cf941ac8c89dfab919a51e59b8de1e23c8fe15eab6437ae9fd81faf4e687ea9d,2,train
97,91,e1c83cd27e8ae33b8f5692c3edab38f6efa4895780529dd7d0878ab3b83d37ce,6,train
98,92,edc3ff90c0a9d3452f15ae2244cb48a707f8d5fdcced73f9d729b7495bc8bcdd,3,train
99,93,7f760953d7dbdf0bd4ee0609874956f231b8b7e6d7ab9fcf3e903300b4d2782c,5,train
100,94,0ed3610d9b2da5134eb5e56f5b5e47dd8a19a1733e938740d64a092a32176271,6,train
101,95,262fa76a58eadb773a4353044f640bd1322ab21fa9a12cdb709831ee0bc2b564,6,train
102,96,51c16a61ede921e591faa37dde53d7a346c918dc06d866e13476292989b6b17f,4,train
103,97,baefe0c6b3acde144de6450743ea846222da312034789e5c4bab707fee7d6318,0,test
104,98,2ec5d131e528a1907a2f3c596491dd10ea2c2a83a37d6c927f999427e3722827,1,validacion
105,99,9b5fbe150e9109ae81205fc2f0ca708e6571d05d12287bb10c04b66a97e6144a,0,test
106,100,4e6551d9b916bca1e243878b3bf4adb33d09a1fd7c75b6af7f135f21d4377d1b,2,train
107,101,728c9d0469b7266b102b55ce89f1fc9bdc6e9c9f176c4e5e74194dd4b30f7446,3,train
108,102,76542b0e59e21aa91075f4d1dc6d7f1b27a28c1e99ace95a6cea961aa3231bbf,5,train
109,103,f12accf7f6dfa5541c872c05ade0f409215712a13a386f4cbd916210f16cb357,0,test
110,104,738c2e4cf9ffc45d8f48f575dd920bb7fc87cfe99a79e1ca31abda826bb70668,4,train
111,105,b33c0e06f5873b76e21aeba2c46dd15a77700dda132e274c1b1e87391885db5c,1,validacion
112,106,05a2042bacbc7e362d8de45640cd464175cdce3bbd669e6bc848af03c51b5a46,2,train
113,107,8568cbdc0fd58a22967c2adfa76ca9137f4c89399369177291e90926855a6572,6,train
114,108,4047caab2160d589c59c8b84fa9da5f47826adccb4314910f8d971bc008ecacb,3,train
115,109,64becfd5b3f733ab5b3afa295c51bcb8c2ed252ac49f769689970457ea10cc42,5,train
116,110,0244aae350fa590477beef601b23d7f9c7a6530ce3c1e81541b1be4d38b652e7,0,test
117,111,b51eb7f0568f72a0531accc4b0b601c44be686efb9e2f1498f625b62630120c8,1,validacion
118,112,0468611ef5f7ca9db0991a8b9d56f7a2ad73737148a7f1652b4af87df42446b7,2,train
119,113,fb5a2591b7d8526e3f8fb43eeca271d9edff5f5c6078022dd0325f7bdb375554,4,train
122,114,2a9e9779d8083877b96c5cf35f7f8b260db43e6506e81cc460f003b71bd86cec,5,train
124,115,ff0f6946c26c69a988121aaa8fc816339b0e5d61a0b3f34a1ef12153e94c1d91,6,train
125,116,881ee62c460b78e207d1b1aaa818a0c35b72a63a7c3418507a4ac89af80ea07c,3,train
126,117,0a664cf05f3d3279fa59dd9f58bf722d9a86ffcd8c255cf4573b50c153b67cf5,0,test
127,118,def356ec09a1d39a389b673d37e2035131e9aa83b766962b99abadbc288c7739,3,train
128,119,2ad0c0c7b7168fccc541e70444c87772acc082fb4106c7a42679bfeb2d416a02,2,train
129,101,728c9d0469b7266b102b55ce89f1fc9bdc6e9c9f176c4e5e74194dd4b30f7446,3,train
130,120,8cab84d80d1d5ad28113934acd134d739a3e9b03d99377720b263e8dca1ad90c,1,validacion
131,121,c81415a0e46ac3a777aba1b96a3fe97b437228e231bfa02bbb2ee7ad9320c5ce,4,train
133,122,b6c0e72ad24b9986b44becd9912df6b7b5ef7bc6b8421bb041bbf6ab740280db,5,train
134,123,6ebb71a491e30dab43fc06c49c88b47868d5da3e9665d23bbeae84d4b8c4283f,6,train
135,124,b718e42e5a29b853a09c4dd5a64da23b397f79ecc4281ed08f291bb8217a57b9,0,test
136,125,8a16e3a91226544531d1b28f26c78843699472a2ed9fe9b6aa822af73a5a42a1,1,validacion
139,126,0fd7c7f700c3424f6645a9d37df98db91bac6c7c1279b1332efaa67a8d4b5eda,3,train
140,127,04d5496926a07d69336dbf8aecb83db990fd66440a4370d003bed160c6174d73,4,train
141,128,2fc6bebb94f6b1756ceaab4e19f81f718659f556d951c19938cfebd3e1db3fdc,5,train
142,129,7edf05771e98dca0597e53710d4f89116700d07db3f74f032aba2d6a98e39c44,1,validacion
143,130,829aa6b044239e99447ba2e772a27155b9b4ade0fee8bb9c2e12e52d05ab0639,6,train
144,131,cc44942e355cb703d7be15abd5450526efdd06be853a57a21598bc3153c978e1,3,train
145,132,3f57e7b25819d7b7c5f0cd50a246af75fd4c08b93e05c684b8da8857765170f4,0,test
146,133,6c99e6220890a4ca91da3a5cdaf385ad5541fde4974db96ef919541097570e6d,1,validacion
147,128,2fc6bebb94f6b1756ceaab4e19f81f718659f556d951c19938cfebd3e1db3fdc,5,train
148,134,250b1550215863ffd00a58fb167ba922f011b3370032688220335c62bbeaedf8,4,train
149,135,0c92b76e86663e42d37ba014d6677cc083b2f6acb55a1f3430c280068a053517,5,train
150,136,12f4c4a8c743e685ff1c6b1c1d8a0cf2435d90f6e30c775b60c7e6014a2715b5,6,train
151,137,4c2728141c31974de7c78547b5319cc49f9f328cbd36c905e9dbe1a9986eb699,0,test
152,138,9d1ae5d47b3b221aebfc1c3b8409d8693a4f64994150f4ca6a8a61811716ef3f,2,train
153,139,1dba32e97a76d76edb76cc57914e71ed75be012c301ce9c8c78e193d189bf980,1,validacion
154,140,fef4256d845987f573a526b2aaa7d2e5bcf7bd91d05d537e9a9ddd419ab226b7,3,train
155,141,4837a77acf1adf3ada0de08e2ab429544434988576d49b5d3081efe53d5f10e3,5,train
156,142,04f603300a1f29cb46d326839adf4fba7f7a12203094cb3c10f6493047dccd27,4,train
157,143,242f92bb95084f175b0c3ea723694d47fabe2be622cdc18a432b46f6269660dd,6,train
158,144,c66fb489b3d5bae26fffb82e71ffc305bc20da2a0d198049b067e85813fba7bb,0,test
159,145,56c343d7cd8af80a903c832e437b7afca5ee595651a48c2da3790919025b81ed,1,validacion
160,146,72b76b418a4e87e8db2c57e2fcf9a02006a332c716166c4fe104258e45320f22,4,train
161,147,cefe4d9adf287e6e33bbf755ca83565466a0da0d6c9c1584973f587102a93399,2,train
162,148,03e15740272442bb1d3fbce5feda1b2845e0845d971caffe95841c2ebf5df13c,3,train
163,113,fb5a2591b7d8526e3f8fb43eeca271d9edff5f5c6078022dd0325f7bdb375554,4,train
164,149,d605a79144acadbf6c28cfe8412a11abd6cb8169c8c85eb178c4360422f1ea86,6,train
165,150,250498f3e37e62f61b06f8c4913ff58b70935435312f31f0e5bbfacf51da623d,5,train
167,151,2aa45e5ff49da00b49de2af2e975cd70df0957cabb930db92f8c38d100581f8d,0,test
169,152,a3f9dc87dbfbed99c31c5bf1848e1525b7caa062cf6c18bf72763ec362856dc9,1,validacion
170,153,6e5105ff528ad4b90c167033e22bc1b0ad498d0d24a6c0b294922341be52b9a2,2,train
171,154,94a6b1f16631874ca96bc7e3c23e1b8f5242f46fc5afe9631556c4b8890ec85b,3,train
172,155,0734cb673ee344908c4b76451523b0b0240d456d41d32d3558f19f5cca817ed8,4,train
173,156,f94553ff6791079d482a9499c413383925f0c39fd1c12ea26681aa90a97583b3,6,train
174,157,c268087bf5bcee82c34e9db044f0ee85823b760e765260707f1004e3c7010a96,5,train
175,158,d67b95c900aa445c8602b08088529c386c6c943c8c68364461c31d5eca68f816,0,test
176,159,459ab548e41ea78efa0b53434f9e54c0c4ba18d2840fcf2dfac7677291b2f1b5,1,validacion
177,160,a1f2ce74117e25ea8188b564948f76704b2c9ef129e9139a848904007ea981d7,2,train
179,161,c18975d025928e0da67b6cc6d33fff49ed0aded3e4c560a20e2b419b727406d4,3,train
180,162,ed15a84627c569a287399713cd0250bd14e955e825a7902a50592ac01e1c2be7,4,train
181,163,57a2671f204dd6e8fc4b7cfc1b135eb908eafd7f96c2763af6fe95ee7887c7c1,5,train
182,163,57a2671f204dd6e8fc4b7cfc1b135eb908eafd7f96c2763af6fe95ee7887c7c1,5,train
184,164,7b1b555afa7481fe052cee6f55efb4cac1b13b8c5f153693ce31c93a150bb0c5,6,train
185,118,def356ec09a1d39a389b673d37e2035131e9aa83b766962b99abadbc288c7739,3,train
186,165,361f90cc367c74200ab950087d9de9c052e06644f8e2d6963a1ea3064ee1d2bd,0,test
188,166,19532fa41cf3e60e5ea97ed1eb25aa343fd88a5fec7aeee963b2f05f43953a6c,1,validacion
190,167,a3c69d030530c223868489308f9e2724939df5fc12c1eba4fa20d5c46c0e7f87,2,train
191,111,b51eb7f0568f72a0531accc4b0b601c44be686efb9e2f1498f625b62630120c8,1,validacion
192,168,a161d8711dcd86184fa58cd137314b77d6c06538d45328d35807adf0651eb181,3,train
193,169,5e8865f18362915416570cd047f70830ecd1371539e86aa9d115428b4c343d3e,4,train
194,170,bc8d9da369810cc9d58ab32642aa3feac4109db6c0c829c2a1b70f48e022c999,5,train
195,171,8910294edcd0131cc9f192764531e0ed29ef5039d9f8cb714bd625b476b6523c,6,train
197,172,5a99b5522fee57d3a03d1ad29476da9de4c739e42a75141a31386af00ffc25b1,0,test
198,173,2670494bd92c4c744b249075ad268d731d0132b87fb713ef39d7d515a7a04462,1,validacion
199,174,690ace9362b220b4e4830f522e622eceeaf75b99b280682d779365621b50d79d,2,train
200,175,d9c8efb10434f33a430d2d8adef77422eec400b5d969a085447f5f4319feade7,3,train
201,176,92f77718a705e4d4952103e1377d00fb7975cbeedd87a6c99f6bc56c3d11218b,4,train
202,177,f720ad51e883d608d39d87c6757eaba59f1491ce65cb227a041471bc8e14cfe0,5,train
203,178,6435d32f5aedccbad6906e1f5925e5b8a829fc7d9f13e5955f4bc174645f1fbc,6,train
204,179,484af8446ce3f21b235ed30af392deee52317078ecb695f84ac77a070058e725,2,train
205,179,484af8446ce3f21b235ed30af392deee52317078ecb695f84ac77a070058e725,2,train
206,180,f31b71683774c65157b4a718acaa27c85881ae65cfe1a7e3d772de120107f269,5,train
207,181,7a23ec9c69712e8974f6d7120c2a2e2026f308623d923a62b9ec656e7b5e2f55,0,test
208,182,86c540f86cba6ca6416f1e19c0ee1b9c017d53ba818320b2b6e590611c04afe9,1,validacion
209,183,7b86848a5341c7e3323d6b197a13912ff6d771c395a2e81b4d277c8ddc4a0022,2,train
210,184,405811ff0f8b901c8f1443ccbd43aa2eade6c83b407da5d2f9608c9c9cc4c619,3,train
211,185,c0391a5c05a377d17cbaf8f33e45dc6a073550cdade00a4e2de2234da4bfec42,4,train
212,186,38ed3dce3a63f5ac06576647ee5f1251d747ef2aefad3696fb42865283c03e5f,6,train
213,187,408876a5ac8d80ce523bc73da3c0e1609ff52f75abb3fc41e190575c09457a0e,3,train
214,188,1c2b9e2c08e7b9ecf538ce0cfcf3be8fd0a8620c15c8fff4ba78f188c2741946,0,test
215,189,4d24e45c15455f0f0b6406ef9fe7e1b19d6c0139188c6e24592a715d7c6e7a65,1,validacion
216,190,5f2182f6648ed9a847c5882b85755e608fbcb3953f53859ad54c3ae1a874d5e7,4,train
217,191,5910117736f3de0f459af6753a9bda8cd38c5b0a1c3451c1d15b804b5ea60e65,2,train
218,192,c63b8cb53818e92116cd1c1a2938c214f5b18f9be42622112b76cb4c37e9332a,6,train
219,193,99c37514cfaff229f334ae6685e9164288a78ce9a11dec876985723ab2673e1a,5,train
220,194,2e398f7cf1731093b4153c143fc76f65af0d18bf55b03c0f6f70b007ed4ecf3d,0,test
221,195,b82265bde9941f6509dea751af3bc131710accaccbb8a951da22162054683a13,1,validacion
222,196,b92d159ae64ec5932fb615f3509379e9e60909cd53b2abefaf1de66b71fabe37,2,train
223,118,def356ec09a1d39a389b673d37e2035131e9aa83b766962b99abadbc288c7739,3,train
224,197,5e30350bb4773defe46ad14338354e5defa6bcaa2dd0eaddef416a811a4b0e6e,3,train
225,198,e75caf015670bdf07f309a93e38be2d457726d7b5834de9863927264b9a880d0,4,train
226,199,befca335b6f16f64b2fcb8be99848090029c4f9d9bf0c2bb7e6acf8203ed28c2,5,train
227,200,bc7acd9dc46a62475c2f60a33e144aae8cac8a3a327611e0c021dd2002bd2242,6,train
228,201,6a77544d5ebda62c30d3880084d8c4f5b1d35f7097d8ffe6a4fbbc5f9d2f9ebd,0,test
229,202,36a4679c69751d874d3a6e54e254024195f9a9162f52cf266bd9b09a021df51b,1,validacion
230,203,c7d0d00a5a81469bb52086603927565566d54749a8866cd7a9e7f17942ee46ef,2,train
231,204,85a8bc9ff85153343714cd028315d34177a43a6e2f0f8d835ff739221ca42d1f,4,train
232,205,a53b5d953a3ba232e1391d800ffaee7737394f8b0f85397ba4cc8169c981f5c4,3,train
233,206,3fd38e1b36fbe4e1c551e6c584f2260c089e11d71fe4fd4f0b1c6c89dfc89a05,5,train
234,207,a19da14b50aa1ed4323b9e4d30cd180a91379ee7f9cc50fbfdc3b7f9cfef2207,6,train
235,208,b9dc6330b019d3a038735c9bfb8e6377ce6ea70c99c57cc85fe802438c398ea3,0,test
236,209,79b27afe748a2e39aff0938ba4de89a13c8982e99362c7c8c8e9a39ae7d6364f,1,validacion
237,210,a1852221e915d87fa202a6f55e192e5747e9dfe1d33e021db61bd9977e2bf337,5,train
238,211,5aa94d3feada7dcdca64968da1ff4acd579a4f567c33d2ac3ab4a5651b922274,2,train
239,212,77ebc8bc3678e0f1f7b51bde6b217103116474c15fec0db3202a082de357a01f,3,train
240,213,e845248fe018b48042967ae413ab52e1cca281cbc2c617f456510d23c4bfd3d5,4,train
241,214,4250d603db854629a60a6918fae3aceb3e3187d2875db24f89f8db91b335dae2,6,train
242,215,d86caf42271053085b0db9ec575fe64a8f6c7b8220dd1c77b7b70000285e6c93,0,test
243,216,ab0f559f8c221e398b92549b5864f5d24112ea63479c794047f57be0c43c704c,1,validacion
244,217,c3586227413244c3d4c964e615878c4238d81004be1b9897fe54f7f1403c9923,2,train
245,218,0e8baf8aa3a447ad9199304905b94f07e0ebe0f817cd723034e466c4e6317e9f,6,train
246,219,0001d91c3c32312c6e134da72fb1fe085abad8e2cbb55f44c8df257987393764,5,train
247,220,6ac92ce1425b7720352ee328f0f646225d9b03f147f64de85e2e94f6c60a5884,3,train
248,221,b721f74c559de65bb1ec46a848fb5ff203479b0f285067b2f494a4847b2d595a,4,train
249,222,7b3a6a7542cb0558aea263a7e578465395c19f6d19f3a13e26153b01e9c997a0,0,test
250,223,9bcc1ec17282f5de1216ae93628950187a4614f7599f0a86fd74a3f61cb1730e,1,validacion
251,224,1778338ff0b477a7a0c7a2bb5b94728e0f7b63e352bc80a0e904a8db62e860a7,2,train
252,225,984e5d44c384480ce6133f077a960d66ae436e7f6471843124ec6a963d8014a0,6,train
253,226,4664536eeb150ab5ef6d612b9d5164ccfcc5079a8bd614ecbf3998238c87f64b,5,train
254,227,e391663e6b6aed644ee7e5da46ad587f275fe22830f2e69d4b77dd82ef28b04b,3,train
255,228,3fbec1ccdebb5ef3c888449f82ae8010ad7afb61db0c04d8f9da961d6635be2b,4,train
256,229,bdd3eb11fb2bdedc94139168cd3e768577e0424dc1ffd712a03b12cdbf985b4b,0,test
257,230,3b9db8df064093edc01aa81b1f6549a4970dc6ef00ac8d41399f3010382f0323,1,validacion
258,231,860661b95aa179478f653466840cd709d0c2b85969dbec94f5b99082c03217b5,2,train
259,232,2d6120d4304c1959e1d456261a8ba658b4a4d134dbf726814d72b97fdcc773c3,6,train
260,233,48d5ab0ef6b56909bcf52854a4f5b75bf9c53bd7b85b191f6311dbce8f85c011,3,train
261,234,6182395770d7df71d56868e8355cfc36cab84b4db71d48a63d3725060688558a,5,train
262,235,24c77998be9de4f6a634a913840fbcc9a4e1161cd36ea45ad727cc7d4b63bebd,4,train
263,236,83e4c96e502f860cd78b9715f7f8d3e8762c4a3c75c0b34d089b2606e469c1a6,0,test
264,237,0b9cd6e68c2fd07de54a051d894402bcd066a79e851e42a58e24079c252e3b7b,1,validacion
265,238,d5bf4eeb97ebccbb16aab798bc6c7d42f05f6e241f5fd1fa952c1cc86d5c31ab,2,train
266,239,8daad09c22f823cbf61df891f82764b85225393fe5e5b7dc8ff3ec369511f7dd,3,train
267,240,c2ab379084eb1d1d8f68782dc13ce015a5391ac045decfbf780cd64420ee488b,4,train
268,241,52562785438b8a198ab7ea1a6e149b6050704d9cbc90d5be78760a6861c2699e,5,train
269,242,8b7813c0890a7d4958795b38b756cd3cd7eccc8ac923ac30909de8744071c2b9,6,train
270,243,c6ce9bc2485cb426adad15ddd6efa7b2fed5b441ea43839b19bf941a7b170067,0,test
271,244,9870210fe0d0429ae0d47f048ce01264cb110a10b957e2fe6e4bbec51bc5b829,3,train
272,245,8f70a92b65f07cfd6f8c7df5f6822d2515a9b9c43ab50fb8b4eb528092393ec0,1,validacion
273,246,1c618687579885163736a3f69b60dd92e6ea2653952bf145d41b396f680360cb,4,train
274,247,bba0c257ea7de9682dfac19d2c13ac06a8c79972a22fb8c747312b086f8289c3,2,train
275,248,f85b18932d490f44116baebaba21cd2957decdedf4bb856b2ae632ecbc7f3542,5,train
276,249,6eaa396a457e0721299a32a3a07ab5d1e03c5ab98ba289d0c1469ac011a4f39a,6,train
277,250,2779c5cff6a9f37a1cbc1a2c79aef07e8e866fdb1d2fa067cd2fd898b41bbd80,2,train
278,251,c76c753f5581165a9e72a4eae73e6030c95a53c57bcbecd0e9875994afcfda56,0,test
279,252,0074643ef124f1b83c7c3787ec5c053e4841e4406a9d25e448028d21eb4387ae,1,validacion
280,253,498380199ce3ca690e4579fd2a971ae22d0f8f9cfb0b08e659be6a88c69ae3e5,3,train
281,254,7d2d1b57b6d7690d7f203a4fd4795437124b7e65e2c23514012e692ba1d0ce04,4,train
282,255,5fd8525c993ccb6ae5ff3f3f293df708156e532a2586924e61c0da4104549229,5,train
283,256,3af5da14667fdf5bb37d11ebfda5c77520d02877d7da1121ae6a14fb9a3a8e9b,6,train
284,257,e0807e1d0391a9341755764d72629d6a11b097877d8d9154e1d9ebd78b70d845,6,train
285,258,594bbdd9a7418cfd6ef5d7cc54979320c039c16437dfa0814258d2ae5eb7a98a,4,train
286,259,99b4b7de20f6dad5011dceda319c537f4e4c0b1e9de1e11fb9ab2edc650a7f1d,0,test
287,260,658c483d9f65acff595b407036f9cc7c59bd6bd14d3132a9ec91eee690d09115,1,validacion
288,261,dd5b102dd694e2cbef1d5ec6b358d6ff7220f750181d960a06a0c12c543da88d,2,train
289,262,8be3a34a651ded991f49516e073028faf739c583f6c0023e43a5ed20dd54ac17,3,train
290,263,b145369bd62f9f55374a48305b345349efe15138079e482cfd775375910f9593,5,train
